MGI:108029	Scn10a
MGI:108030	Hyou1
MGI:108031	Gpr65
MGI:108034	Epha6
MGI:108037	Figf
MGI:108040	Cnga2
MGI:108041	Traf3
MGI:108042	Ccna1
MGI:108045	Gcm1
MGI:108046	Laptm5
MGI:108047	Bag1
MGI:108050	Ext2
MGI:108051	Smad2
MGI:108052	Bcl2l2
MGI:108053	Rit1
MGI:108055	Neurod4
MGI:108056	Nfia
MGI:108058	Adm
MGI:108059	Stx2
MGI:108061	Wnt10b
MGI:108062	Siah2
MGI:108063	Siah1b
MGI:108064	Siah1a
MGI:108067	Nkx2-1
MGI:108068	Cxcl1
MGI:108069	Ccna2
MGI:108072	Traf6
MGI:108074	Sptlc2
MGI:108075	Smo
MGI:108076	Frrs1
MGI:108078	Sfrp2
MGI:108080	Serpinf1
MGI:108082	Npy5r
MGI:108083	Kcnq1
MGI:108085	Hpgd
MGI:108086	Hdac1
MGI:108088	Gab1
MGI:108090	Ei24
MGI:108091	Bcar1
MGI:108092	Bin1
MGI:108093	Bid
MGI:108100	Dvl3
MGI:108101	Ddn
MGI:108109	Ywhag
MGI:108110	Sparcl1
MGI:108111	Slc22a1
MGI:108114	Slc12a3
MGI:108117	Emd
MGI:108118	Tsx
MGI:108173	Prkg2
MGI:108174	Prkg1
MGI:108176	Prx
MGI:108177	Dhx9
MGI:108186	Aldh7a1
MGI:108206	El5
MGI:108212	Ripk1
MGI:108224	Ccl12
MGI:108225	El6
